TG#,Level,FiltC,1955,1961,1972,Recap,Test
1,50,1,50,50,50,50,20
2,50,1,50,50,50,50,20
3,50,1,50,50,50,50,20
4,50,1,50,50,50,50,20
5,50,1,50,50,50,50,20
6,50,1,50,50,50,50,20
7,50,1,50,50,50,50,20
8,50,1,50,50,50,50,20
9,50,1,50,50,50,50,20
10,50,1,50,50,50,50,20
11,50,1,50,50,50,50,20
12,50,1,50,50,50,50,20
13,"15,6",1,"15,6","15,6","15,6","15,6",20
14,"15,6",1,"15,6","15,6","15,6","15,6",20
15,15,1,15,15,15,15,20
16,"14,7",1,"14,7","14,7","14,7","14,7",20
17,"14,1",1,"14,1","14,1","14,1","14,1",20
18,"13,6",1,"13,6","13,6","13,6","13,6",20
19,"13,3",1,"13,3","13,3","13,3","13,3",20
20,13,1,13,13,13,13,20
21,"12,7",1,"12,7","12,7","12,7","12,7",20
22,"12,2",1,"12,2","12,2","12,2","12,2",20
23,12,1,12,12,12,12,20
24,12,1,"12,2",12,12,12,20
25,11,1,"11,8",11,11,11,20
26,11,1,"11,3333333333333",11,11,11,20
27,11,1,"11,2666666666667",11,11,11,20
28,11,1,"11,7333333333333",11,11,11,20
29,11,1,"12,1333333333333",11,11,11,20
30,11,1,"10,4666666666667",11,11,11,20
31,11,1,"10,9333333333333",11,11,11,20
32,11,1,"11,2666666666667",11,11,11,20
33,11,1,"10,4",11,11,11,20
34,11,1,"10,4",11,11,11,20
35,11,1,"10,6",11,11,11,20
36,11,1,"11,7","10,2",11,11,20
37,"11,1","1,539454056","13,9020689112565","14,6020689112565","14,1020689112565","14,1020689112565","25,4091331734352"
38,"11,2","1,480244285","14,1228126977727","13,9228126977727","13,9228126977727","13,9228126977727","24,862165531737"
39,"11,3","1,423311812","15,1447392616746","13,8447392616746","13,7447392616746","13,7447392616746","24,3269721445568"
40,"11,4","1,36856905","14,7678807459857","13,3678807459857","13,5678807459857","13,5678807459857","23,8032995543608"
41,"11,5","1,315931779","14,9922673617979","12,1922673617979","13,3922673617979","13,3922673617979","23,2908997596486"
42,"11,7","1,265319018","14,7318751070395","12,7318751070395","13,3318751070395","13,3318751070395","22,7895300975034"
43,"11,8","1,216652902","14,6563823459168","13,8563823459168","13,1563823459168","13,1563823459168","22,2989531286726"
44,12,"1,16985856","11,691361915072","12,691361915072","13,091361915072","13,091361915072","21,81893652512"
45,"12,2","1,124864","12,0230443056","14,1230443056","13,0230443056","13,0230443056","21,34925296"
46,"12,5","1,0816","14,75605","13,75605","13,05605","13,05605","20,88968"
47,"12,8","1,04","11,3816","11,8816","13,0816","13,0816","20,44"
48,13,1,14,"12,9",13,13,20
49,"13,2","1,539454056","14,6433550290301","17,1066914617487","16,7700278944672","18,6650325435451","25,4091331734352"
50,"13,4","1,480244285","10,5559507048718","13,0068008055678","16,6576509062638","21,3339260573078","24,862165531737"
51,"13,8","1,423311812","10,4554750509122","14,1205429153282","16,7856107797442","18,1832125763682","24,3269721445568"
52,14,"1,36856905","12,3595742018187","14,8109419449356","16,6623096880526","17,839361302728","23,8032995543608"
53,"14,2","1,315931779","12,0617524228282","13,6991456260893","16,5365388293505","18,2926286342423","23,2908997596486"
54,"14,5","1,265319018","9,85076280498109","13,6865860628355","16,52240932069","20,5761442074716","22,7895300975034"
55,"14,7","1,216652902","10,9475682052245","13,9686493773994","16,3897305495744","19,4213523078368","22,2989531286726"
56,15,"1,16985856","9,52771297298667","13,3459576834133","16,36420239384","18,59156945948","21,81893652512"
57,"15,2","1,124864","9,61978063857778","15,8226064440889","16,2254322496","18,5296709578667","21,34925296"
58,"15,4","1,0816","9,31059724444444","15,2978254222222","16,0850536","18,7658958666667","20,88968"
59,"15,8","1,04","12,1592444444444","15,5534222222222","16,1476","16,8388666666667","20,44"
60,16,1,"9,64444444444444","13,0222222222222",16,"18,7666666666667",20
61,"16,3","1,539454056","18,3065671949386","19,0075053656442","20,7084435363497","23,159850792408","25,4091331734352"
62,"16,6","1,480244285","18,4499090821547","18,1427532367482","20,6355973913417","23,874863623232","24,862165531737"
63,17,"1,423311812","12,882831584457","19,1803789536651","20,6779263228733","24,7242473766855","24,3269721445568"
64,"17,3","1,36856905","15,4143309779616","16,9020925462419","20,5898541145221","24,3214964669424","23,8032995543608"
65,"17,7","1,315931779","15,0319026678914","16,3221744775902","20,612446287289","25,4478540018372","23,2908997596486"
66,18,"1,265319018","16,5526710682524","19,8316240780027","20,5105770877531","21,9290066023786","22,7895300975034"
67,"18,4","1,216652902","17,1561397942946","19,0355883363367","20,5150368783788","25,2342096914419","22,2989531286726"
68,"18,8","1,16985856","14,9520669261433","19,830933629878","20,5098003336128","25,1281003892149","21,81893652512"
69,"19,1","1,124864","18,8577506708444","15,9231436238222","20,3885365768","22,7866260062667","21,34925296"
70,"19,4","1,0816","15,9601030222222","19,2115463111111","20,2629896","24,7401545333333","20,88968"
